rfp_id,sku_id,category,final_score,baseline_score,structured_score,semantic_score,standards_score,shap_structured,shap_semantic,shap_standards,dominant_feature
RFP_6321,SKU_166,partially matching,0.5561455121407142,0.6691409972959177,0.7692307692307693,0.5717670917510986,0.0,0.039473110223110286,-0.012468595378313728,-0.13999999999999999,Standards score
RFP_6322,SKU_160,partially matching,0.6043384423622719,0.6691409972959177,0.7692307692307693,0.732410192489624,0.0,0.039473110223110286,0.03572433484324389,-0.13999999999999999,Standards score
RFP_6323,SKU_258,partially matching,0.7014439100568945,0.6691409972959177,0.6363636363636364,0.6108736395835876,1.0,-0.026960456210456174,-0.0007366310285670252,0.06000000000000001,Standards score
RFP_6324,SKU_228,partially matching,0.6455473823980852,0.6691409972959177,0.9090909090909091,0.636673092842102,0.0,0.10940318015318018,0.007003204948987296,-0.13999999999999999,Standards score
RFP_6325,SKU_188,partially matching,0.5956936386498538,0.6691409972959177,0.8181818181818182,0.6220090985298157,0.0,0.06394863469863477,0.002604006655301383,-0.13999999999999999,Standards score
RFP_6326,SKU_176,matching,0.824967626730601,0.6691409972959177,0.8333333333333334,0.6943365335464478,1.0,0.07152439227439233,0.024302237160291007,0.06000000000000001,Structured score
RFP_6327,SKU_299,matching,0.7788776199022929,0.6691409972959177,0.8333333333333334,0.5407031774520874,1.0,0.07152439227439233,-0.0217877696680171,0.06000000000000001,Structured score
RFP_6328,SKU_192,partially matching,0.568800531900846,0.6691409972959177,0.7692307692307693,0.6139504909515381,0.0,0.039473110223110286,0.0001864243818181066,-0.13999999999999999,Standards score
RFP_6329,SKU_248,partially matching,0.7010011156400044,0.6691409972959177,0.6666666666666666,0.5588926076889038,1.0,-0.011808941058941036,-0.016330940596972175,0.06000000000000001,Standards score
RFP_6330,SKU_130,matching,0.7426815580237995,0.6691409972959177,0.7272727272727273,0.5968173146247864,1.0,0.018494089244089296,-0.004953528516207406,0.06000000000000001,Standards score
RFP_6331,SKU_282,partially matching,0.700722127610987,0.6691409972959177,0.6363636363636364,0.608467698097229,1.0,-0.026960456210456174,-0.001458413474474618,0.06000000000000001,Standards score
RFP_6332,SKU_294,matching,0.7378152798522601,0.6691409972959177,0.7272727272727273,0.580596387386322,1.0,0.018494089244089296,-0.009819806687746712,0.06000000000000001,Standards score
RFP_6333,SKU_234,partially matching,0.5558549523353576,0.6691409972959177,0.75,0.6028498411178589,0.0,0.02985772560772565,-0.003143770568285653,-0.13999999999999999,Standards score
RFP_6334,SKU_247,partially matching,0.687076626221339,0.6691409972959177,0.5833333333333334,0.6513665318489075,1.0,-0.053475607725607666,0.011411236651028922,0.06000000000000001,Standards score
RFP_6335,SKU_259,partially matching,0.5917971482643715,0.6691409972959177,0.7692307692307693,0.690605878829956,0.0,0.039473110223110286,0.023183040745343497,-0.13999999999999999,Standards score
RFP_6336,SKU_188,partially matching,0.5701088905334473,0.6691409972959177,0.75,0.6503629684448242,0.0,0.02985772560772565,0.011110167629803946,-0.13999999999999999,Standards score
RFP_6337,SKU_248,matching,0.9042686700820923,0.6691409972959177,1.0,0.6808955669403076,1.0,0.15485772560772565,0.020269947178448964,0.06000000000000001,Structured score
RFP_6338,SKU_293,matching,0.7205344200134276,0.6691409972959177,0.7,0.5684480667114258,1.0,0.004857725607725627,-0.013464302890215584,0.06000000000000001,Standards score
RFP_6339,SKU_149,matching,0.7596450448036194,0.6691409972959177,0.8,0.532150149345398,1.0,0.05485772560772567,-0.024353678100023934,0.06000000000000001,Standards score
RFP_6340,SKU_265,partially matching,0.6290254500177171,0.6691409972959177,0.8888888888888888,0.6152700185775757,0.0,0.09930217005217007,0.0005822826696293858,-0.13999999999999999,Standards score
RFP_6341,SKU_146,partially matching,0.5216068029403687,0.6691409972959177,0.7,0.5720226764678955,0.0,0.004857725607725627,-0.012391919963274666,-0.13999999999999999,Standards score
RFP_6342,SKU_265,matching,0.7206925760615956,0.6691409972959177,0.7272727272727273,0.5235207080841064,1.0,0.018494089244089296,-0.026942510478411386,0.06000000000000001,Standards score
