rfp_id,model,score_clean,score_start,score_middle,score_end,delta_start,delta_middle,delta_end,rank_stable_start,rank_stable_middle,rank_stable_end
RFP_0020,Exact Structured,0.8181818127632141,0.8181818127632141,0.8181818127632141,0.8181818127632141,0.0,0.0,0.0,True,True,True
RFP_0020,Hybrid (Ours),0.7999016642570496,0.7899585962295532,0.7833747267723083,0.7804626226425171,-0.009943068027496338,-0.01652693748474121,-0.01943904161453247,True,True,True
RFP_0021,SBERT MPNet (sem-only),0.7548086047172546,0.7061556577682495,0.5783451795578003,0.5991617441177368,-0.04865294694900513,-0.17646342515945435,-0.15564686059951782,True,True,True
RFP_0021,SBERT MiniLM-L6,0.6240190267562866,0.6055911779403687,0.5507259964942932,0.5374161601066589,-0.01842784881591797,-0.07329303026199341,-0.08660286664962769,True,False,False
RFP_0021,TF-IDF + Cosine,0.09050489962100983,0.046899501234292984,0.05160348862409592,0.06969756633043289,-0.04360539838671684,-0.03890141099691391,-0.020807333290576935,True,False,False
RFP_0021,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0021,Exact Structured,0.8181818127632141,0.8181818127632141,0.8181818127632141,0.8181818127632141,0.0,0.0,0.0,True,True,True
RFP_0021,Hybrid (Ours),0.8355334401130676,0.8209375739097595,0.7825944423675537,0.7888393998146057,-0.014595866203308105,-0.052938997745513916,-0.046694040298461914,True,True,True
RFP_0022,SBERT MPNet (sem-only),0.6994714736938477,0.594173789024353,0.5384610891342163,0.6021767854690552,-0.10529768466949463,-0.16101038455963135,-0.09729468822479248,True,False,False
RFP_0022,SBERT MiniLM-L6,0.6143141984939575,0.6405538320541382,0.6080934405326843,0.5402069091796875,0.026239633560180664,-0.006220757961273193,-0.07410728931427002,True,False,False
RFP_0022,TF-IDF + Cosine,0.09187699109315872,0.05605636164546013,0.043725449591875076,0.054403018206357956,-0.03582062944769859,-0.048151541501283646,-0.037473972886800766,True,True,True
RFP_0022,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0022,Exact Structured,0.8888888955116272,0.8888888955116272,0.8888888955116272,0.8888888955116272,0.0,0.0,0.0,True,True,True
RFP_0022,Hybrid (Ours),0.6467365622520447,0.6143196821212769,0.5994699597358704,0.6177113652229309,-0.03241688013076782,-0.047266602516174316,-0.02902519702911377,True,True,True
RFP_0023,SBERT MPNet (sem-only),0.6934566497802734,0.6786737442016602,0.6150635480880737,0.6344578266143799,-0.014782905578613281,-0.07839310169219971,-0.058998823165893555,True,True,True
RFP_0023,SBERT MiniLM-L6,0.6534016132354736,0.6350101232528687,0.6182658672332764,0.6008557081222534,-0.01839148998260498,-0.035135746002197266,-0.052545905113220215,False,False,True
RFP_0023,TF-IDF + Cosine,0.1222427636384964,0.07577553391456604,0.10898561775684357,0.13838084042072296,-0.04646722972393036,-0.013257145881652832,0.016138076782226562,True,True,True
RFP_0023,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,False,True
RFP_0023,Exact Structured,0.75,0.75,0.75,0.75,0.0,0.0,0.0,True,True,True
RFP_0023,Hybrid (Ours),0.6073085069656372,0.6068612337112427,0.5889879465103149,0.5897479057312012,-0.00044727325439453125,-0.018320560455322266,-0.017560601234436035,True,True,True
RFP_0024,SBERT MPNet (sem-only),0.7058359384536743,0.6405469179153442,0.5842887163162231,0.5856667757034302,-0.06528902053833008,-0.12154722213745117,-0.12016916275024414,False,False,False
RFP_0024,SBERT MiniLM-L6,0.6417080760002136,0.6187283992767334,0.5708085298538208,0.5410129427909851,-0.022979676723480225,-0.07089954614639282,-0.10069513320922852,True,False,False
RFP_0024,TF-IDF + Cosine,0.10209040343761444,0.07022268325090408,0.054860278964042664,0.06675950437784195,-0.03186772018671036,-0.04723012447357178,-0.03533089905977249,True,True,True
RFP_0024,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,False,False,True
RFP_0024,Exact Structured,0.75,0.75,0.75,0.75,0.0,0.0,0.0,True,True,True
RFP_0024,Hybrid (Ours),0.5571504235267639,0.5428189039230347,0.5269328951835632,0.5219775438308716,-0.014331519603729248,-0.030217528343200684,-0.035172879695892334,True,True,True
RFP_0025,SBERT MPNet (sem-only),0.7476244568824768,0.6437605619430542,0.59751296043396,0.6385900974273682,-0.10386389493942261,-0.15011149644851685,-0.10903435945510864,True,False,True
RFP_0025,SBERT MiniLM-L6,0.7063397765159607,0.6994175910949707,0.6545767784118652,0.593965470790863,-0.00692218542098999,-0.05176299810409546,-0.11237430572509766,False,False,False
RFP_0025,TF-IDF + Cosine,0.16904482245445251,0.10560435056686401,0.08381283283233643,0.10579795390367508,-0.0634404718875885,-0.08523198962211609,-0.06324686855077744,True,True,True
RFP_0025,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0025,Exact Structured,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.9166666865348816,0.0,0.0,0.0,True,True,True
RFP_0025,Hybrid (Ours),0.6587023138999939,0.6300849318504333,0.6127643585205078,0.616896390914917,-0.028617382049560547,-0.045937955379486084,-0.041805922985076904,True,True,True
RFP_0026,SBERT MPNet (sem-only),0.6679718494415283,0.6618648767471313,0.5657949447631836,0.5288997888565063,-0.006106972694396973,-0.10217690467834473,-0.13907206058502197,False,False,False
RFP_0026,SBERT MiniLM-L6,0.6529258489608765,0.6723458766937256,0.6120287179946899,0.5461864471435547,0.01942002773284912,-0.04089713096618652,-0.10673940181732178,True,True,True
RFP_0026,TF-IDF + Cosine,0.07825955003499985,0.04310871660709381,0.051852233707904816,0.06984131038188934,-0.035150833427906036,-0.026407316327095032,-0.008418239653110504,True,False,False
RFP_0026,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True
RFP_0026,Exact Structured,0.9090909361839294,0.9090909361839294,0.9090909361839294,0.9090909361839294,0.0,0.0,0.0,True,True,True
RFP_0026,Hybrid (Ours),0.8175641298294067,0.8029880523681641,0.7828242182731628,0.7805070281028748,-0.014576077461242676,-0.034739911556243896,-0.03705710172653198,True,True,True
RFP_0027,SBERT MPNet (sem-only),0.7335013151168823,0.6704452037811279,0.6143554449081421,0.5854437947273254,-0.0630561113357544,-0.11914587020874023,-0.14805752038955688,False,False,True
RFP_0027,SBERT MiniLM-L6,0.7083162665367126,0.7095241546630859,0.6382867693901062,0.5432303547859192,0.001207888126373291,-0.07002949714660645,-0.16508591175079346,True,True,True
RFP_0027,TF-IDF + Cosine,0.044089291244745255,0.029642343521118164,0.024804899469017982,0.0317387618124485,-0.01444694772362709,-0.019284391775727272,-0.012350529432296753,True,True,True
RFP_0027,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,False,False
RFP_0027,Exact Structured,0.7272727489471436,0.7272727489471436,0.7272727489471436,0.7272727489471436,0.0,0.0,0.0,True,True,True
RFP_0027,Hybrid (Ours),0.5836867690086365,0.560926079750061,0.5437929034233093,0.5392695069313049,-0.02276068925857544,-0.03989386558532715,-0.04441726207733154,True,True,True
RFP_0028,SBERT MPNet (sem-only),0.6926083564758301,0.6860524415969849,0.6282469034194946,0.6434897184371948,-0.006555914878845215,-0.06436145305633545,-0.049118638038635254,False,True,True
RFP_0028,SBERT MiniLM-L6,0.6399891972541809,0.6745354533195496,0.6272158026695251,0.5642468333244324,0.03454625606536865,-0.012773394584655762,-0.07574236392974854,False,False,False
RFP_0028,TF-IDF + Cosine,0.06634795665740967,0.03831387683749199,0.02927679754793644,0.038008157163858414,-0.02803407981991768,-0.03707115910947323,-0.028339799493551254,True,True,True
RFP_0028,BM25 (Okapi),1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,False,True
RFP_0028,Exact Structured,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.0,0.0,0.0,True,True,True
RFP_0028,Hybrid (Ours),0.6245225071907043,0.6040989756584167,0.5867332816123962,0.599547266960144,-0.020423531532287598,-0.037789225578308105,-0.024975240230560303,True,True,True
RFP_0029,SBERT MPNet (sem-only),0.7053107023239136,0.6224929094314575,0.5828984975814819,0.6200694441795349,-0.08281779289245605,-0.12241220474243164,-0.08524125814437866,False,False,False
